Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount To Date,Staking Reward Rate
1,2020-04-23,25.000000,0.043836,0.043836,8.00%
2,2020-05-23,25.043836,0.164672,0.208507,8.00%
3,2020-06-23,25.208507,0.171280,0.379787,8.00%
4,2020-07-23,25.379787,0.166881,0.546668,8.00%
5,2020-08-23,25.546668,0.173577,0.720245,8.00%
6,2020-09-23,25.720245,0.174757,0.895002,8.00%
7,2020-10-23,25.895002,0.170269,1.065271,8.00%
8,2020-11-23,26.065271,0.177101,1.242372,8.00%
9,2020-12-23,26.242372,0.172553,1.414924,8.00%
10,2021-01-23,26.414924,0.179477,1.594401,8.00%
11,2021-02-23,26.594401,0.180696,1.775097,8.00%
12,2021-03-23,26.775097,0.164318,1.939415,8.00%
13,2021-04-23,26.939415,0.183040,2.122456,8.00%
14,2021-05-23,27.122456,0.178339,2.300795,8.00%
15,2021-06-23,27.300795,0.185496,2.486291,8.00%
16,2021-07-23,27.486291,0.180732,2.667023,8.00%
17,2021-08-23,27.667023,0.187984,2.855007,8.00%
18,2021-09-23,27.855007,0.189261,3.044268,8.00%
19,2021-10-23,28.044268,0.184401,3.228669,8.00%
20,2021-11-23,28.228669,0.191800,3.420469,8.00%
21,2021-12-23,28.420469,0.186874,3.607344,8.00%
22,2022-01-23,28.607344,0.194373,3.801717,8.00%
23,2022-02-23,28.801717,0.195694,3.997411,8.00%
24,2022-03-23,28.997411,0.177957,4.175368,8.00%
25,2022-04-15,29.175368,0.147076,4.322443,8.00%
